id,Nombre,down,top,liga
1,Alaves,1.065789474,1.223684211,espania
2,Ath Bilbao,1.236842105,1.210526316,espania
3,Ath Madrid,1.684210526,0.644736842,espania
4,Barcelona,2.828947368,0.868421053,espania
5,Betis,1.328947368,1.644736842,espania
6,Celta,1.473684211,1.697368421,espania
7,Eibar,1.315789474,1.328947368,espania
8,Espanol,1.118421053,1.210526316,espania
9,Getafe,1.105263158,0.868421053,espania
10,Girona,1.315789474,1.552631579,espania
11,Granada,0.789473684,2.157894737,espania
12,La Coruna,1.065789474,1.802631579,espania
13,Las Palmas,1.013157895,1.947368421,espania
14,Leganes,0.921052632,1.394736842,espania
15,Levante,1.157894737,1.526315789,espania
16,Malaga,0.960526316,1.526315789,espania
17,Osasuna,1.052631579,2.473684211,espania
18,Real Madrid,2.631578947,1.118421053,espania
19,Sevilla,1.552631579,1.407894737,espania
20,Sociedad,1.644736842,1.473684211,espania
21,Sp Gijon,1.105263158,1.894736842,espania
22,Valencia,1.592105263,1.355263158,espania
23,Villarreal,1.486842105,1.092105263,espania
24,Angers,1.052631579,1.289473684,francia
25,Bastia,0.763157895,1.5,francia
26,Bordeaux,1.394736842,1.131578947,francia
27,Caen,0.947368421,1.710526316,francia
28,Dijon,1.210526316,1.526315789,francia
29,Guingamp,1.210526316,1.394736842,francia
30,Lille,1.052631579,1.236842105,francia
31,Lorient,1.157894737,1.842105263,francia
32,Lyon,2.105263158,1.263157895,francia
33,Marseille,1.5,1.078947368,francia
34,Metz,1.026315789,1.894736842,francia
35,Monaco,2.815789474,0.815789474,francia
36,Montpellier,1.263157895,1.736842105,francia
37,Nancy,0.763157895,1.368421053,francia
38,Nantes,1.052631579,1.421052632,francia
39,Nice,1.657894737,0.947368421,francia
40,Paris SG,2.184210526,0.710526316,francia
41,Rennes,0.947368421,1.105263158,francia
42,St Etienne,1.078947368,1.105263158,francia
43,Toulouse,0.973684211,1.078947368,francia
44,Arsenal,1.947368421,1.342105263,premiere
45,Bournemouth,1.184210526,1.605263158,premiere
46,Brighton,0.894736842,1.421052632,premiere
47,Burnley,0.947368421,1.026315789,premiere
48,Chelsea,1.631578947,1,premiere
49,Crystal Palace,1.184210526,1.447368421,premiere
50,Everton,1.157894737,1.526315789,premiere
51,Huddersfield,0.736842105,1.526315789,premiere
52,Leicester,1.473684211,1.578947368,premiere
53,Liverpool,2.210526316,1,premiere
54,Man City,2.789473684,0.710526316,premiere
55,Man United,1.789473684,0.736842105,premiere
56,Newcastle,1.026315789,1.236842105,premiere
57,Southampton,0.973684211,1.473684211,premiere
58,Stoke,0.921052632,1.789473684,premiere
59,Swansea,0.736842105,1.473684211,premiere
60,Tottenham,1.947368421,0.947368421,premiere
61,Watford,1.157894737,1.684210526,premiere
62,West Brom,0.815789474,1.473684211,premiere
63,West Ham,1.263157895,1.789473684,premiere
